Lifetime (mins),Density (%)
4.1246263829013525,6.96
4.1246263829013525,6.88
4.1246263829013525,6.4
4.1246263829013525,6.4799999999999995
4.1246263829013525,7.04
4.1246263829013525,6.72
4.1246263829013525,5.92
4.1246263829013525,6.08
4.1246263829013525,6.0
4.27335754210932,7.12
4.27335754210932,6.4
4.27335754210932,6.96
4.27335754210932,6.8
4.27335754210932,6.4799999999999995
4.27335754210932,6.88
4.27335754210932,6.72
4.27335754210932,7.04
4.27335754210932,7.28
4.27335754210932,6.5600000000000005
4.27335754210932,6.640000000000001
4.27335754210932,7.199999999999999
4.4274518434944925,7.12
4.4274518434944925,7.04
4.4274518434944925,7.52
4.4274518434944925,7.28
4.4274518434944925,7.4399999999999995
4.4274518434944925,6.96
4.4274518434944925,7.199999999999999
4.4274518434944925,7.36
4.4274518434944925,6.88
4.587102678234387,7.6000000000000005
4.587102678234387,7.52
4.587102678234387,7.28
4.587102678234387,7.4399999999999995
4.587102678234387,7.36
4.587102678234387,7.199999999999999
4.587102678234387,7.68
4.752510411057904,7.52
4.752510411057904,7.92
4.752510411057904,7.76
4.752510411057904,7.4399999999999995
4.752510411057904,7.6000000000000005
4.752510411057904,7.68
4.752510411057904,7.84
4.923882631706739,8.08
4.923882631706739,8.0
4.923882631706739,7.92
4.923882631706739,7.68
4.923882631706739,7.84
4.923882631706739,7.6000000000000005
4.923882631706739,7.76
5.101434415464324,7.84
5.101434415464324,8.24
5.101434415464324,7.92
5.101434415464324,8.0
5.101434415464324,8.16
5.101434415464324,8.08
5.101434415464324,8.32
5.2853885930792455,8.08
5.2853885930792455,8.16
5.2853885930792455,8.24
5.2853885930792455,8.32
5.2853885930792455,8.0
5.2853885930792455,8.48
5.2853885930792455,8.4
5.475976030421944,8.24
5.475976030421944,8.4
5.475976030421944,8.32
5.475976030421944,8.48
5.475976030421944,8.559999999999999
5.475976030421944,8.64
5.6734359182256,8.559999999999999
5.6734359182256,8.64
5.6734359182256,8.72
5.6734359182256,8.48
5.878016072274912,8.559999999999999
5.878016072274912,8.8
5.878016072274912,8.879999999999999
5.878016072274912,8.64
5.878016072274912,8.72
6.089973244419449,8.879999999999999
6.089973244419449,8.8
6.089973244419449,9.04
6.089973244419449,8.96
6.089973244419449,8.72
6.309573444801932,8.879999999999999
6.309573444801932,8.96
6.309573444801932,9.04
6.309573444801932,9.120000000000001
6.309573444801932,8.8
6.5370922757058585,9.120000000000001
6.5370922757058585,9.04
6.5370922757058585,9.2
6.5370922757058585,8.96
6.772815277441416,9.36
6.772815277441416,9.280000000000001
6.772815277441416,9.04
6.772815277441416,9.120000000000001
6.772815277441416,9.2
7.017038286703828,9.44
7.017038286703828,8.879999999999999
7.017038286703828,9.120000000000001
7.017038286703828,9.280000000000001
7.017038286703828,9.04
7.017038286703828,8.96
